Título do Filme,Ano de Lançamento,Bilheteria (US$),Duração (minutos),Aprovação no Rotten Tomatoes
Wish: O Poder dos Desejos,2023,91000000.0,92,48%
A Bela e a Fera (animação),1991,440000000.0,84,94%
Carros,2006,462000000.0,117,74%
Extraordinário,2017,306000000.0,113,86%
Jumanji,1995,263000000.0,104,52%
Sonic 2: O Filme,2022,405000000.0,122,69%
Premonição 3,2006,118000000.0,93,43%
High School Musical,2006,,98,65%
Escape Room,2019,155000000.0,100,51%
O Círculo,2017,40000000.0,110,15%
Procurando Nemo,2003,940000000.0,100,99%
Madagascar,2005,556000000.0,86,54%
A Casa Monstro,2006,142000000.0,91,75%
Adoráveis Mulheres,2019,218000000.0,135,95%
Nerve: Um Jogo Sem Regras,2016,85000000.0,96,67%
Encanto,2021,256000000.0,102,91%
A Semana da Minha Vida,2021,,94,41%
Pocahontas,1995,346000000.0,81,55%
Moana,2016,682000000.0,107,95%
Toy Story,1995,394000000.0,81,100%
